                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5298,                 1.9335,                 1.4505,                0.70714,                0.76565,                 0.7734,                0.53125,                 1.1155,                 1.9792,                 1.3144,             0.00036674,             0.00036674,             0.00036674
                      2,                 1.1214,                0.95182,                 1.1798,                0.67891,                0.77207,                0.73076,                0.48964,                 1.1798,                 1.3656,                 1.3167,              0.0007452,              0.0007452,              0.0007452
                      3,                 1.1097,                0.81065,                 1.1576,                0.71599,                0.81964,                0.80186,                0.52937,                 1.1849,                0.94076,                 1.3473,              0.0011186,              0.0011186,              0.0011186
                      4,                  1.109,                0.82675,                 1.1578,                0.39722,                0.52914,                0.36953,                0.22787,                 1.5062,                 2.0902,                 1.5239,              0.0014869,              0.0014869,              0.0014869
                      5,                 1.1155,                0.81995,                 1.1769,                 0.6216,                0.58568,                0.53997,                0.34022,                 1.2794,                 1.6045,                 1.4346,               0.001623,               0.001623,               0.001623
                      6,                 1.0958,                0.81036,                  1.157,                0.73097,                0.79676,                0.83108,                0.56597,                 1.1358,                0.98442,                  1.291,               0.001612,               0.001612,               0.001612
                      7,                 1.0599,                0.78251,                 1.1404,                0.83481,                0.86909,                0.90196,                0.63813,                 1.0501,                0.77265,                 1.2414,               0.001601,               0.001601,               0.001601
                      8,                  1.052,                0.75596,                 1.1246,                0.74271,                0.82722,                0.86491,                0.62421,                 1.0055,                0.88932,                 1.2047,                0.00159,                0.00159,                0.00159
                      9,                 1.0358,                0.73562,                 1.1177,                0.85559,                0.86884,                0.91852,                 0.6764,                0.98297,                0.64293,                 1.1759,               0.001579,               0.001579,               0.001579
                     10,                 1.0436,                0.73116,                 1.1248,                0.85525,                0.86274,                0.93115,                0.68548,                 0.9807,                0.67233,                 1.1721,               0.001568,               0.001568,               0.001568
                     11,                 1.0414,                0.71453,                 1.1234,                 0.8615,                 0.8653,                0.92402,                0.66402,                 1.0047,                0.68009,                 1.1999,               0.001557,               0.001557,               0.001557
                     12,                 1.0308,                 0.6934,                 1.1196,                0.86009,                0.86035,                0.91972,                0.68413,                0.95748,                0.63022,                 1.1514,               0.001546,               0.001546,               0.001546
                     13,                 1.0445,                0.69619,                 1.1303,                0.87148,                0.87563,                0.93191,                0.68356,                0.98863,                0.59851,                 1.1758,               0.001535,               0.001535,               0.001535
                     14,                 1.0314,                0.68431,                 1.1246,                0.86104,                0.88734,                 0.9339,                0.69052,                0.95697,                0.61514,                 1.1674,               0.001524,               0.001524,               0.001524
                     15,                 1.0191,                0.68415,                 1.1123,                0.87649,                0.88438,                0.93936,                0.69732,                0.97565,                0.58754,                 1.1451,               0.001513,               0.001513,               0.001513
                     16,                 1.0044,                0.67635,                 1.1072,                0.86547,                0.85868,                0.91998,                0.68935,                0.93931,                0.61223,                 1.1409,               0.001502,               0.001502,               0.001502
                     17,                 1.0031,                 0.6687,                 1.1055,                0.87754,                0.88489,                0.93893,                0.70335,                0.94423,                0.58492,                 1.1384,               0.001491,               0.001491,               0.001491
                     18,                 1.0113,                0.67681,                 1.1122,                0.82801,                  0.879,                0.90263,                0.68416,                0.93372,                 0.6314,                 1.1322,                0.00148,                0.00148,                0.00148
                     19,                0.99949,                0.64799,                 1.0965,                0.84897,                0.89691,                0.93787,                  0.709,                0.91299,                0.62306,                 1.1286,               0.001469,               0.001469,               0.001469
                     20,                0.99373,                0.66267,                 1.1003,                0.87224,                0.91071,                0.95046,                0.71471,                0.92174,                 0.5486,                 1.1317,               0.001458,               0.001458,               0.001458
                     21,                 1.0003,                0.66357,                 1.0942,                0.88485,                0.90831,                0.94987,                0.71719,                0.93368,                 0.5291,                 1.1352,               0.001447,               0.001447,               0.001447
                     22,                 1.0104,                0.63365,                 1.1158,                0.88077,                0.91631,                0.95676,                0.72175,                0.94505,                0.51178,                 1.1305,               0.001436,               0.001436,               0.001436
                     23,                0.97752,                0.61697,                 1.0813,                0.89685,                0.93024,                0.95929,                0.73174,                0.91531,                0.49979,                 1.1218,               0.001425,               0.001425,               0.001425
                     24,                0.96453,                0.60454,                 1.0886,                0.86701,                0.90723,                0.94906,                0.71096,                0.93285,                0.54312,                 1.1349,              0.0014139,              0.0014139,              0.0014139
                     25,                0.98803,                0.62698,                 1.1072,                0.87129,                0.91334,                 0.9535,                0.72257,                0.92268,                0.54272,                 1.1288,              0.0014029,              0.0014029,              0.0014029
                     26,                0.97271,                0.63771,                 1.0903,                0.88499,                0.89047,                0.95019,                0.71653,                0.91451,                0.52926,                 1.1245,              0.0013919,              0.0013919,              0.0013919
                     27,                0.96492,                0.61198,                 1.0867,                0.87867,                 0.9111,                0.95001,                0.71509,                0.93971,                0.53625,                  1.138,              0.0013809,              0.0013809,              0.0013809
                     28,                0.96382,                 0.6078,                 1.0808,                0.89569,                0.92225,                0.95817,                 0.7207,                0.94252,                0.52668,                 1.1483,              0.0013699,              0.0013699,              0.0013699
                     29,                0.97908,                0.61524,                 1.0852,                0.87502,                0.90221,                0.94948,                0.71241,                0.94486,                 0.5277,                 1.1359,              0.0013589,              0.0013589,              0.0013589
                     30,                0.97283,                0.61554,                 1.0929,                0.87353,                 0.8859,                 0.9465,                0.72173,                0.91071,                0.54815,                  1.115,              0.0013479,              0.0013479,              0.0013479
                     31,                0.97758,                0.61425,                 1.0959,                0.89681,                0.91419,                0.95854,                 0.7262,                 0.9202,                0.50887,                 1.1304,              0.0013369,              0.0013369,              0.0013369
                     32,                0.95409,                0.60506,                 1.0764,                0.87216,                0.90681,                0.95208,                0.72746,                0.90977,                0.53294,                  1.118,              0.0013259,              0.0013259,              0.0013259
                     33,                0.94998,                0.57399,                 1.0692,                0.89851,                0.90912,                0.95758,                0.73496,                0.90719,                0.50072,                 1.1154,              0.0013149,              0.0013149,              0.0013149
                     34,                0.95265,                0.57442,                 1.0783,                 0.9127,                0.91377,                0.96228,                0.73951,                0.90492,                0.47472,                 1.1113,              0.0013039,              0.0013039,              0.0013039
                     35,                0.94832,                0.57919,                 1.0738,                0.90169,                0.91894,                 0.9585,                0.72638,                0.91313,                0.49698,                  1.128,              0.0012929,              0.0012929,              0.0012929
                     36,                 0.9563,                0.59039,                 1.0685,                0.91672,                0.91881,                0.96839,                0.73759,                0.89463,                0.47187,                 1.1094,              0.0012819,              0.0012819,              0.0012819
                     37,                0.94289,                0.56943,                 1.0734,                0.91066,                0.90106,                0.95549,                  0.731,                0.89102,                0.48786,                 1.1122,              0.0012709,              0.0012709,              0.0012709
                     38,                0.92862,                0.56188,                 1.0665,                0.89016,                0.92224,                0.95148,                0.71288,                0.92068,                0.51219,                 1.1313,              0.0012599,              0.0012599,              0.0012599
                     39,                0.94744,                0.58176,                 1.0762,                0.87562,                0.90124,                0.94243,                0.72172,                0.88912,                0.56869,                 1.1086,              0.0012489,              0.0012489,              0.0012489
                     40,                0.94329,                0.57131,                 1.0816,                0.90398,                0.91551,                0.96132,                0.74088,                0.88293,                0.48949,                 1.1076,              0.0012379,              0.0012379,              0.0012379
                     41,                0.94278,                0.59138,                 1.0681,                0.90028,                0.93396,                 0.9653,                0.73853,                0.90141,                0.48587,                 1.1129,              0.0012269,              0.0012269,              0.0012269
                     42,                0.93283,                0.58759,                 1.0725,                0.91397,                0.92719,                0.96322,                 0.7366,                0.89071,                0.47519,                 1.1086,              0.0012159,              0.0012159,              0.0012159
                     43,                0.93002,                0.57933,                 1.0665,                0.90989,                0.92162,                0.96759,                0.74192,                0.89258,                0.47529,                  1.111,              0.0012049,              0.0012049,              0.0012049
                     44,                0.93651,                0.56744,                 1.0839,                0.90574,                0.93334,                0.96781,                0.74564,                0.88731,                0.46151,                 1.1067,              0.0011939,              0.0011939,              0.0011939
                     45,                0.91851,                0.56019,                 1.0683,                0.91615,                0.92829,                0.96384,                 0.7466,                0.87641,                0.46508,                 1.0999,              0.0011829,              0.0011829,              0.0011829
                     46,                0.91557,                0.54593,                  1.048,                0.90773,                0.91678,                0.96312,                0.74089,                  0.874,                0.46694,                 1.0978,              0.0011719,              0.0011719,              0.0011719
                     47,                0.90868,                0.54171,                 1.0664,                 0.9149,                0.93019,                0.96543,                0.74969,                0.87058,                0.44774,                 1.1023,              0.0011609,              0.0011609,              0.0011609
                     48,                0.91117,                0.55238,                 1.0588,                0.89902,                0.91205,                 0.9564,                0.73997,                0.87678,                0.48574,                 1.1045,              0.0011499,              0.0011499,              0.0011499
                     49,                0.91035,                0.54306,                 1.0661,                0.91495,                0.91858,                0.96747,                 0.7505,                0.87477,                0.45387,                 1.0971,              0.0011389,              0.0011389,              0.0011389
                     50,                0.89426,                0.53297,                 1.0622,                0.91788,                0.92773,                 0.9672,                0.74992,                0.86063,                0.44064,                 1.0952,              0.0011279,              0.0011279,              0.0011279
                     51,                0.90484,                0.52712,                 1.0517,                0.88407,                0.90389,                0.95452,                0.72852,                0.91082,                 0.5072,                 1.1265,              0.0011169,              0.0011169,              0.0011169
                     52,                0.90981,                0.54846,                 1.0647,                0.91949,                0.93728,                0.96929,                0.75823,                0.85017,                0.44122,                 1.0898,              0.0011059,              0.0011059,              0.0011059
                     53,                0.88769,                0.53346,                 1.0542,                0.92175,                0.92675,                0.96972,                0.75319,                0.86621,                0.44361,                 1.0977,              0.0010949,              0.0010949,              0.0010949
                     54,                0.88978,                0.53483,                 1.0561,                0.90577,                0.91949,                0.96267,                0.74991,                0.85913,                 0.4553,                 1.0935,              0.0010839,              0.0010839,              0.0010839
                     55,                0.90838,                 0.5379,                 1.0646,                0.92261,                0.94405,                 0.9737,                 0.7651,                0.84138,                 0.4269,                 1.0828,              0.0010729,              0.0010729,              0.0010729
                     56,                0.89263,                0.54147,                 1.0558,                0.91946,                0.94188,                0.97162,                0.75635,                0.87609,                0.43606,                 1.0951,              0.0010619,              0.0010619,              0.0010619
                     57,                0.91497,                0.53942,                 1.0578,                0.92323,                0.94882,                0.97092,                0.75484,                0.86007,                0.43438,                 1.0912,              0.0010509,              0.0010509,              0.0010509
                     58,                0.91872,                0.52781,                  1.061,                0.92221,                0.93625,                0.96713,                 0.7589,                0.84166,                0.44322,                 1.0834,              0.0010399,              0.0010399,              0.0010399
                     59,                0.89538,                0.50979,                 1.0516,                0.92074,                0.94508,                0.97303,                0.74702,                0.89206,                0.43671,                 1.1025,              0.0010289,              0.0010289,              0.0010289
                     60,                0.89702,                0.52065,                 1.0627,                0.92972,                0.93865,                0.97228,                 0.7655,                0.84265,                0.41537,                 1.0829,              0.0010179,              0.0010179,              0.0010179
                     61,                0.89704,                0.52467,                 1.0464,                0.91798,                  0.944,                0.97167,                0.76263,                 0.8439,                 0.4303,                 1.0816,              0.0010069,              0.0010069,              0.0010069
                     62,                0.87792,                0.51151,                 1.0375,                0.92651,                0.94088,                0.97045,                 0.7646,                0.83493,                0.42439,                 1.0798,             0.00099587,             0.00099587,             0.00099587
                     63,                0.88826,                0.51607,                 1.0452,                0.91969,                0.93692,                0.97195,                 0.7628,                0.84496,                0.42417,                 1.0875,             0.00098486,             0.00098486,             0.00098486
                     64,                0.87679,                0.50252,                 1.0338,                0.92381,                0.94437,                 0.9744,                 0.7685,                0.84222,                0.41511,                 1.0797,             0.00097386,             0.00097386,             0.00097386
                     65,                0.85556,                0.49261,                 1.0374,                0.91256,                 0.9302,                0.96699,                0.75761,                0.84398,                0.43988,                 1.0846,             0.00096286,             0.00096286,             0.00096286
                     66,                0.88316,                0.50535,                 1.0439,                0.92855,                 0.9441,                0.96571,                0.75711,                0.83538,                0.42831,                 1.0828,             0.00095186,             0.00095186,             0.00095186
                     67,                 0.8756,                0.51146,                  1.048,                0.93003,                0.94118,                0.97209,                0.76338,                0.83051,                0.41473,                 1.0788,             0.00094085,             0.00094085,             0.00094085
                     68,                0.87337,                0.49736,                 1.0298,                0.92709,                0.94454,                0.97712,                0.76471,                0.84201,                0.41173,                  1.081,             0.00092985,             0.00092985,             0.00092985
                     69,                0.87682,                  0.494,                 1.0361,                0.93485,                0.92642,                0.97346,                0.76458,                0.82848,                 0.4156,                  1.075,             0.00091885,             0.00091885,             0.00091885
                     70,                0.86309,                0.49476,                 1.0416,                0.92861,                 0.9336,                0.96769,                0.76709,                0.81477,                0.41904,                 1.0715,             0.00090785,             0.00090785,             0.00090785
                     71,                0.86273,                0.49367,                 1.0364,                0.91858,                0.95781,                0.97078,                0.76808,                0.81624,                 0.4135,                  1.073,             0.00089685,             0.00089685,             0.00089685
                     72,                0.85149,                0.48974,                 1.0311,                0.92829,                0.95026,                0.97489,                0.77037,                0.81725,                0.39746,                 1.0723,             0.00088584,             0.00088584,             0.00088584
                     73,                0.86505,                0.48995,                 1.0247,                0.92824,                0.94465,                0.97413,                0.76927,                0.81703,                0.40559,                 1.0734,             0.00087484,             0.00087484,             0.00087484
                     74,                0.85084,                0.48525,                 1.0327,                0.92888,                0.93689,                0.97441,                0.76669,                0.83938,                 0.4221,                 1.0853,             0.00086384,             0.00086384,             0.00086384
                     75,                0.86516,                0.47995,                 1.0496,                0.92079,                0.94267,                0.97528,                 0.7756,                0.81646,                0.41014,                 1.0688,             0.00085284,             0.00085284,             0.00085284
                     76,                0.85069,                0.48517,                 1.0403,                0.92515,                0.95299,                0.97607,                0.76991,                0.83081,                0.40914,                 1.0772,             0.00084184,             0.00084184,             0.00084184
                     77,                0.85264,                0.48371,                 1.0284,                0.93554,                0.94421,                0.97803,                0.77847,                0.80771,                0.41021,                 1.0673,             0.00083083,             0.00083083,             0.00083083
                     78,                 0.8523,                 0.5029,                  1.034,                0.93209,                0.94203,                0.97787,                0.77347,                0.82352,                0.40691,                 1.0739,             0.00081983,             0.00081983,             0.00081983
                     79,                0.85155,                0.48385,                  1.032,                 0.9288,                0.94744,                0.97683,                0.78019,                0.79736,                0.39419,                 1.0619,             0.00080883,             0.00080883,             0.00080883
                     80,                0.82932,                0.47846,                 1.0323,                0.91438,                0.94781,                0.97648,                0.77947,                 0.8012,                0.41183,                 1.0629,             0.00079783,             0.00079783,             0.00079783
                     81,                0.83888,                0.48129,                 1.0264,                0.93428,                 0.9416,                 0.9762,                0.78099,                0.79864,                0.39288,                 1.0613,             0.00078682,             0.00078682,             0.00078682
                     82,                0.84131,                0.47771,                 1.0331,                 0.9333,                0.95244,                0.97794,                0.77673,                0.81143,                0.39791,                 1.0727,             0.00077582,             0.00077582,             0.00077582
                     83,                0.83402,                0.47808,                  1.025,                0.93052,                0.94827,                0.97626,                0.77283,                 0.8099,                0.39756,                 1.0719,             0.00076482,             0.00076482,             0.00076482
                     84,                0.83025,                0.46843,                 1.0282,                0.92646,                0.94004,                0.97567,                0.77719,                0.79554,                0.40058,                 1.0612,             0.00075382,             0.00075382,             0.00075382
                     85,                0.83456,                0.46408,                  1.034,                 0.9296,                 0.9477,                0.97602,                0.77273,                0.80304,                0.39418,                 1.0676,             0.00074282,             0.00074282,             0.00074282
                     86,                0.81063,                0.46323,                 1.0217,                0.93439,                0.93942,                0.97527,                0.77665,                0.78751,                0.39324,                 1.0589,             0.00073181,             0.00073181,             0.00073181
                     87,                0.81914,                0.46852,                 1.0315,                0.94053,                0.95007,                  0.973,                0.77111,                0.80035,                0.38794,                 1.0648,             0.00072081,             0.00072081,             0.00072081
                     88,                0.83317,                0.45961,                 1.0359,                 0.9453,                0.93799,                0.97584,                0.78259,                0.78789,                0.38998,                 1.0591,             0.00070981,             0.00070981,             0.00070981
                     89,                0.82993,                0.45891,                 1.0256,                0.94706,                 0.9347,                0.97778,                0.78263,                0.77967,                0.38257,                 1.0547,             0.00069881,             0.00069881,             0.00069881
                     90,                0.82719,                0.46084,                 1.0264,                0.93221,                0.95436,                 0.9782,                0.77887,                0.80416,                 0.3925,                  1.064,              0.0006878,              0.0006878,              0.0006878
                     91,                 0.8182,                0.45616,                 1.0113,                0.93704,                0.95908,                0.98025,                0.79179,                0.77018,                0.37606,                 1.0465,              0.0006768,              0.0006768,              0.0006768
                     92,                0.80988,                0.45671,                 1.0159,                0.93101,                0.95514,                0.97661,                0.78857,                0.76963,                0.38657,                 1.0503,              0.0006658,              0.0006658,              0.0006658
                     93,                0.80387,                 0.4527,                 1.0136,                0.93057,                0.95896,                0.97751,                0.77913,                0.79737,                0.38676,                 1.0652,              0.0006548,              0.0006548,              0.0006548
                     94,                0.80626,                0.44466,                 1.0144,                0.93737,                0.94994,                0.97931,                 0.7938,                0.76448,                0.37677,                 1.0455,              0.0006438,              0.0006438,              0.0006438
                     95,                0.78565,                0.43786,                 1.0037,                0.94405,                0.95586,                0.98064,                0.79227,                0.77102,                0.36658,                 1.0463,             0.00063279,             0.00063279,             0.00063279
                     96,                0.79773,                0.44832,                 1.0156,                0.93737,                0.94509,                0.97888,                0.78982,                0.76786,                 0.3825,                 1.0498,             0.00062179,             0.00062179,             0.00062179
                     97,                 0.7964,                0.44417,                 1.0053,                0.94127,                  0.949,                0.97929,                0.78747,                0.77091,                0.37885,                 1.0518,             0.00061079,             0.00061079,             0.00061079
                     98,                0.79285,                 0.4371,                  1.016,                0.93899,                0.95363,                0.97733,                0.78897,                0.76682,                0.37762,                 1.0482,             0.00059979,             0.00059979,             0.00059979
                     99,                0.78616,                0.44592,                0.99961,                 0.9444,                0.95152,                0.97837,                0.78243,                0.78614,                0.38054,                 1.0523,             0.00058878,             0.00058878,             0.00058878
                    100,                0.79399,                0.44057,                 1.0079,                0.94233,                0.94956,                 0.9754,                0.78511,                0.76459,                0.37181,                 1.0438,             0.00057778,             0.00057778,             0.00057778
                    101,                0.78697,                0.44327,                 1.0083,                   0.94,                0.95829,                0.98021,                0.79461,                0.74884,                0.35958,                 1.0388,             0.00056678,             0.00056678,             0.00056678
                    102,                0.79017,                0.43968,                 1.0119,                0.95188,                0.95013,                0.97996,                0.79556,                0.74498,                0.35588,                 1.0405,             0.00055578,             0.00055578,             0.00055578
                    103,                0.78018,                0.43271,                 1.0155,                0.94426,                0.95455,                0.97883,                0.79835,                0.73974,                0.36198,                 1.0372,             0.00054478,             0.00054478,             0.00054478
                    104,                0.77265,                0.42483,                 1.0079,                0.94929,                0.95124,                0.97886,                 0.8006,                0.73497,                0.36226,                 1.0351,             0.00053377,             0.00053377,             0.00053377
                    105,                0.77866,                0.42167,                  1.012,                0.94434,                 0.9581,                0.98043,                0.79793,                0.75818,                0.36362,                 1.0418,             0.00052277,             0.00052277,             0.00052277
                    106,                0.77749,                0.42437,                 1.0071,                0.94725,                0.95776,                0.97972,                0.79804,                0.75032,                0.35901,                 1.0371,             0.00051177,             0.00051177,             0.00051177
                    107,                0.77357,                  0.425,                0.99941,                0.94126,                0.95203,                0.97747,                 0.7977,                0.74394,                0.36222,                 1.0361,             0.00050077,             0.00050077,             0.00050077
                    108,                0.77929,                 0.4288,                 1.0145,                0.94136,                0.95002,                0.97843,                 0.7987,                0.73787,                0.36762,                 1.0345,             0.00048976,             0.00048976,             0.00048976
                    109,                0.75455,                 0.4199,                0.99091,                0.94024,                0.95932,                0.97969,                 0.8007,                0.73174,                 0.3606,                  1.034,             0.00047876,             0.00047876,             0.00047876
                    110,                0.76834,                0.41863,                 1.0041,                0.94795,                0.95523,                0.98077,                0.80355,                0.73164,                0.35029,                 1.0362,             0.00046776,             0.00046776,             0.00046776
                    111,                0.75155,                0.41255,                0.99237,                0.94882,                0.95628,                0.98182,                0.80505,                0.72829,                   0.35,                 1.0315,             0.00045676,             0.00045676,             0.00045676
                    112,                 0.7623,                0.42138,                0.99807,                0.94337,                0.96222,                0.98169,                0.80593,                0.72816,                0.34977,                 1.0315,             0.00044576,             0.00044576,             0.00044576
                    113,                0.74741,                0.41577,                0.98808,                0.94389,                0.95554,                0.98272,                0.80766,                0.72756,                0.34931,                 1.0313,             0.00043475,             0.00043475,             0.00043475
                    114,                0.74855,                0.41587,                0.99946,                0.94885,                0.95608,                0.98151,                0.80695,                0.71633,                0.34349,                  1.027,             0.00042375,             0.00042375,             0.00042375
                    115,                0.75931,                0.41902,                 1.0007,                0.93946,                0.96264,                0.98045,                0.80868,                0.71252,                0.35159,                 1.0241,             0.00041275,             0.00041275,             0.00041275
                    116,                0.75131,                 0.4176,                0.99005,                0.94494,                0.95874,                0.98204,                0.80611,                0.71609,                0.34659,                 1.0256,             0.00040175,             0.00040175,             0.00040175
                    117,                 0.7488,                0.41138,                 0.9968,                0.93837,                 0.9643,                0.98088,                0.80636,                0.70663,                0.34429,                 1.0209,             0.00039074,             0.00039074,             0.00039074
                    118,                0.73779,                 0.4056,                0.99082,                0.94289,                0.96389,                0.98157,                0.80832,                0.71102,                0.34373,                  1.021,             0.00037974,             0.00037974,             0.00037974
                    119,                0.74927,                0.41215,                0.99655,                  0.942,                0.96066,                0.98185,                0.80954,                0.70892,                0.34026,                 1.0215,             0.00036874,             0.00036874,             0.00036874
                    120,                0.74637,                0.40197,                0.98759,                0.94588,                0.95042,                0.97796,                0.81061,                0.69518,                0.35077,                 1.0172,             0.00035774,             0.00035774,             0.00035774
                    121,                0.73393,                0.39819,                0.97835,                0.95057,                0.95133,                0.98143,                0.81586,                0.69112,                0.34167,                 1.0134,             0.00034674,             0.00034674,             0.00034674
                    122,                0.73182,                0.41059,                0.99727,                0.92825,                0.95678,                0.97317,                0.80904,                0.69173,                0.36847,                 1.0143,             0.00033573,             0.00033573,             0.00033573
                    123,                0.72286,                 0.3903,                0.98296,                0.94996,                0.95898,                0.98156,                0.81737,                0.68857,                0.33145,                 1.0124,             0.00032473,             0.00032473,             0.00032473
                    124,                0.71727,                0.39651,                0.97998,                0.95401,                0.95425,                0.98288,                0.80931,                 0.7066,                0.33493,                 1.0185,             0.00031373,             0.00031373,             0.00031373
                    125,                 0.7345,                0.39263,                0.99026,                 0.9522,                0.95232,                 0.9837,                0.81494,                0.68807,                 0.3285,                 1.0111,             0.00030273,             0.00030273,             0.00030273
                    126,                0.71885,                0.39842,                0.98474,                0.94411,                0.96589,                0.98395,                0.82002,                0.68708,                0.32751,                 1.0112,             0.00029172,             0.00029172,             0.00029172
                    127,                0.72488,                 0.3916,                0.98351,                0.95026,                0.96238,                0.98318,                0.82223,                0.68083,                 0.3285,                 1.0115,             0.00028072,             0.00028072,             0.00028072
                    128,                0.72366,                0.39179,                0.98389,                0.95223,                0.95675,                0.97909,                0.81443,                0.69268,                0.33945,                 1.0151,             0.00026972,             0.00026972,             0.00026972
                    129,                0.71774,                0.37732,                0.98122,                0.96101,                0.95526,                0.98129,                0.82025,                0.67321,                0.32737,                 1.0068,             0.00025872,             0.00025872,             0.00025872
                    130,                0.71699,                0.38595,                0.97742,                0.95584,                0.95684,                0.98217,                0.82203,                 0.6742,                0.32526,                 1.0064,             0.00024772,             0.00024772,             0.00024772
                    131,                0.71745,                0.38698,                0.98961,                0.96165,                0.94945,                0.98265,                 0.8229,                0.66996,                0.32516,                 1.0058,             0.00023671,             0.00023671,             0.00023671
                    132,                 0.7084,                0.38866,                0.97905,                0.95312,                0.95994,                0.98341,                0.82281,                0.67174,                0.32352,                 1.0075,             0.00022571,             0.00022571,             0.00022571
                    133,                0.71875,                0.38951,                0.97368,                0.94642,                 0.9641,                0.98236,                0.82368,                0.66606,                0.32599,                 1.0049,             0.00021471,             0.00021471,             0.00021471
                    134,                0.70415,                0.38204,                0.97211,                0.96363,                0.94917,                0.98316,                0.82664,                0.66063,                0.31788,                 1.0023,             0.00020371,             0.00020371,             0.00020371
                    135,                0.69154,                0.37598,                0.97212,                0.95005,                0.96007,                0.98221,                0.82297,                0.66893,                0.32834,                 1.0035,             0.00019271,             0.00019271,             0.00019271
                    136,                0.71871,                0.38887,                0.98388,                0.96604,                0.94548,                0.98186,                0.82485,                0.65828,                0.32467,                 0.9993,              0.0001817,              0.0001817,              0.0001817
                    137,                0.70374,                0.39175,                0.96899,                0.96077,                0.95694,                 0.9833,                0.82766,                0.65522,                0.31632,                0.99886,              0.0001707,              0.0001707,              0.0001707
                    138,                0.69566,                0.37079,                0.96847,                0.95442,                 0.9596,                0.98273,                 0.8272,                0.65136,                0.31715,                 0.9978,              0.0001597,              0.0001597,              0.0001597
                    139,                0.69076,                0.36991,                0.97614,                0.95665,                0.95552,                 0.9818,                0.82408,                0.66259,                0.32212,                 1.0026,              0.0001487,              0.0001487,              0.0001487
                    140,                0.68709,                0.37406,                0.96618,                0.94731,                0.96408,                0.98129,                0.82709,                0.65204,                0.31954,                0.99814,             0.00013769,             0.00013769,             0.00013769
                    141,                 0.6854,                0.35533,                0.98937,                0.95585,                0.95572,                 0.9807,                0.82852,                0.65161,                0.32124,                0.99726,             0.00012669,             0.00012669,             0.00012669
                    142,                0.67063,                 0.3353,                0.99546,                0.95427,                0.95801,                0.98086,                0.83017,                0.64875,                0.32183,                0.99594,             0.00011569,             0.00011569,             0.00011569
                    143,                0.68015,                0.35474,                0.99346,                0.95562,                0.95612,                0.98113,                0.82906,                0.65108,                0.32441,                0.99737,             0.00010469,             0.00010469,             0.00010469
                    144,                0.65354,                0.32414,                0.97759,                0.94583,                0.96647,                0.98049,                0.82966,                 0.6444,                0.32319,                0.99446,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    145,                0.65636,                0.33163,                0.98216,                0.94569,                0.96709,                0.98071,                0.82837,                 0.6485,                0.32345,                0.99599,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    146,                0.64687,                0.31628,                0.97218,                0.95124,                0.96469,                0.98182,                0.83062,                0.64318,                0.31829,                0.99386,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    147,                0.63752,                0.31859,                0.97139,                0.95344,                0.96208,                  0.982,                0.83163,                0.64258,                0.31691,                0.99406,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    148,                0.64409,                0.32058,                0.98097,                0.94985,                0.96424,                0.98186,                0.83279,                0.63787,                0.31747,                0.99215,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    149,                0.62507,                 0.3123,                 0.9652,                0.94733,                0.96682,                0.98195,                0.83408,                0.63695,                0.31826,                0.99229,             3.8674e-05,             3.8674e-05,             3.8674e-05
                    150,                0.65212,                0.32167,                0.98275,                 0.9597,                0.95471,                0.98184,                0.83491,                 0.6352,                0.31749,                0.99173,             2.7672e-05,             2.7672e-05,             2.7672e-05
